Motifs	Average log2FC	Adjusted p-value	Cluster
Hoxa11	0.356939454	6.56326E-08	Not expanded
SOHLH2	0.357256504	9.38826E-16	Other expanded
FOXB1	0.357436311	6.68212E-16	Not expanded
RUNX3	0.35769624	1.8501E-304	Not expanded
Nkx3-1	0.358419805	0.000563512	C1
ZNF449	0.358542228	1	C3
JUN::JUNB(var.2)	0.359239002	4.14025E-37	Other expanded
TBR1	0.359868524	0.004189551	C4
NR4A2	0.360265401	1.19543E-08	Other expanded
ETV1	0.361061101	1.13574E-20	C4
Nr5a2	0.361166145	9.55162E-14	C1
HOXB3	0.361717971	0.05508083	C2
TBX21	0.361951104	0.78102145	C4
HOXC12	0.362027327	7.20552E-06	Not expanded
CLOCK	0.362121353	0.652991059	Not expanded
MIXL1	0.362201425	0.00341016	C1
Isl1	0.362366227	0.003965263	Other expanded
CREB3	0.36306324	4.72651E-09	Other expanded
ONECUT3	0.364977567	6.81838E-14	C1
INSM1	0.365018824	4.82032E-18	C2
NFATC1	0.365506821	1.25562E-05	C2
SREBF1	0.365642174	0.00022618	C5
TBX6	0.366034883	0.146968221	C4
ZNF282	0.36606397	2.44322E-06	Not expanded
HOXB9	0.366790536	1	C4
MGA	0.367765832	0.005176224	C4
TBX15	0.367765832	0.005176224	C4
Pou5f1::Sox2	0.367895214	1	C5
EVX2	0.368193083	0.003926803	C2
Dmrt1	0.368976615	1.39618E-14	Not expanded
BARHL2	0.36925971	7.64581E-11	Not expanded
ZNF75D	0.371265589	3.30771E-06	Other expanded
TBX1	0.371292014	6.6081E-61	Other expanded
LBX2	0.371494045	3.24939E-07	C1
GLIS2	0.371991092	1	Other expanded
HES2	0.372067547	3.85119E-12	Not expanded
RORB	0.373440603	8.27929E-08	C2
SCRT1	0.373932252	0.060362323	C5
Nobox	0.375524939	1.39763E-06	C2
HOXB9	0.377507537	2.26688E-05	Other expanded
ETV4	0.377620241	0	Not expanded
PAX7	0.377940136	6.29118E-06	Not expanded
FEV	0.378542704	0.185246053	C5
GMEB2	0.378673822	0.023537128	C3
JUN::JUNB	0.379657368	0	Not expanded
RAX	0.379991859	1.12291E-05	C3
NRL	0.381671081	0.503729477	Other expanded
RARA(var.2)	0.381726776	0.188589138	C3
SIX1	0.382258396	0.005061606	Other expanded
Mlxip	0.38236117	1	C4
PAX5	0.383067517	0.00042476	Other expanded
SPI1	0.383397707	3.9521E-252	Other expanded
HOXC13	0.384269995	1.25462E-11	C1
MAFF	0.38500357	0.423193534	C5
