Motifs	Average log2FC	Adjusted p-value	Cluster
CDX2	1.202016788	8.8064E-120	Not expanded
Pou5f1::Sox2	1.202493481	1.6459E-112	C1
PAX5	1.205846536	0.030510915	C4
IRF7	1.206079579	4.15078E-19	Not expanded
FOXC1	1.206243574	1.78185E-97	C1
PAX5	1.206622332	8.6149E-110	Not expanded
ZSCAN29	1.212232711	7.13415E-46	Other expanded
Rarg(var.2)	1.215382987	8.5072E-55	C3
HES5	1.216651516	6.0413E-149	C2
Zic1::Zic2	1.218285144	0.000491033	Not expanded
SOX15	1.220691799	5.4537E-108	Not expanded
MEF2D	1.221779259	7.63827E-06	C5
FOSL1::JUND(var.2)	1.225823263	0.000129926	C4
KLF2	1.230267714	1.93501E-91	Not expanded
Sox5	1.232411604	2.339E-108	Not expanded
POU6F2	1.233489988	4.20999E-48	C2
POU4F1	1.23498422	4.35234E-82	C1
Rarg(var.2)	1.237698358	1.3064E-120	C2
MEIS2(var.2)	1.239264927	6.8634E-136	C1
ZNF75D	1.239648103	0.050238976	C4
Nr2e3	1.240374647	1.395E-119	Not expanded
MSANTD3	1.240458665	1.6641E-118	Not expanded
Sox11	1.244357416	4.6543E-154	C1
JUN	1.245295822	4.4577E-186	C2
Arid3a	1.248376113	5.84971E-76	Not expanded
KLF6	1.248839792	5.2776E-139	Not expanded
FOXI1	1.249329845	1.6028E-273	C1
FOXL1	1.249329845	1.6028E-273	C1
FOXO4	1.249329845	1.6028E-273	C1
FOXO6	1.249329845	1.6028E-273	C1
FOXP3	1.249329845	1.6028E-273	C1
TFAP2B(var.3)	1.250718412	1.11223E-70	Not expanded
SREBF2	1.25090449	2.248E-112	C2
Klf1	1.251494676	2.0729E-172	C2
Hand1::Tcf3	1.253471056	1.21487E-57	Other expanded
KLF6	1.254199265	8.79714E-08	C5
SP1	1.254756709	2.3796E-192	C2
RXRG(var.2)	1.255170263	9.2054E-111	C2
Gfi1b	1.256156146	4.96119E-66	Other expanded
HOXD13	1.257197187	2.1211E-84	Not expanded
RXRB(var.2)	1.257327754	3.32423E-44	C3
SOX2	1.257928731	8.8776E-96	Not expanded
Gfi1b	1.259197027	0.001362016	C5
KLF6	1.259365819	4.8605E-18	C4
JDP2(var.2)	1.260991158	1.19842E-36	C3
REL	1.268299047	1.92504E-21	C1
KLF3	1.272626967	1.57201E-10	C5
Klf12	1.273778378	3.37793E-25	C4
Arid5a	1.274481179	1.87509E-94	C1
CUX2	1.2779328	9.29415E-93	C1
FIGLA	1.279454078	2.34115E-05	C5
SOX13	1.281080728	1.5386E-104	Not expanded
MEF2B	1.282385336	6.33539E-11	C5
KLF6	1.288831699	1.791E-195	C2
ALX3	1.289628178	1.1199E-137	C1
BCL6B	1.290524502	1.5124E-120	C1
OLIG2	1.292849609	2.44809E-59	Not expanded
ATF2	1.29462978	4.66E-171	C2
TFAP2C(var.3)	1.300383709	1.4491E-99	Not expanded
RARA	1.301204185	1.3021E-108	Other expanded
TCFL5	1.301325351	2.1854E-144	Not expanded
KLF2	1.306170179	5.40499E-10	C5
Nr2f6	1.306736078	5.9942E-122	C1
Rarg	1.30787393	2.2607E-168	C2
Rarb	1.309901347	7.6398E-171	C2
EGR4	1.310114643	6.28783E-69	Not expanded
RREB1	1.310910954	2.9664E-204	Not expanded
RORB	1.311682484	4.37262E-20	Other expanded
RXRG(var.2)	1.312176781	6.64653E-94	Other expanded
SREBF1	1.316056168	3.2521E-180	C2
RORB	1.319395333	0.053292963	C4
RFX1	1.32045715	0.882977483	C2
ETV6	1.321241411	7.1422E-152	C2
SP8	1.321300299	8.2785E-102	Not expanded
SRF	1.322517221	6.62371E-33	C3
ZNF460	1.323809183	5.83946E-74	C3
SP8	1.325502191	1.4516E-137	C2
KLF4	1.330371614	3.0737E-110	Not expanded
KLF6	1.331588289	5.5576E-147	Other expanded
ZSCAN29	1.345093658	2.77955E-31	C3
ZNF460	1.347115172	8.9433E-117	Other expanded
RXRB(var.2)	1.347395011	6.5667E-118	C2
FOXK2	1.348334775	6.3159E-262	C1
POU4F3	1.353711281	1.1733E-111	C1
GLIS1	1.354170777	0.004672195	C5
RBPJ	1.354436474	1.6225E-117	C1
Rhox11	1.358407321	2.367E-109	Not expanded
PAX9	1.36003968	2.6203E-244	Not expanded
KLF11	1.364034352	0.002135987	C5
ZBTB14	1.371242921	6.77591E-82	Not expanded
MEF2D	1.382034636	4.62986E-97	C2
ELF1	1.383051431	4.9746E-223	Other expanded
KLF9	1.383477762	7.0266E-206	C2
RXRG(var.2)	1.384555628	0.000954334	C4
THRB(var.3)	1.387880055	2.86936E-54	C3
OLIG3	1.388898181	2.70223E-83	Not expanded
ATF3	1.393325349	3.63433E-41	C3
KLF3	1.397645421	5.7513E-130	Other expanded
LHX2	1.402365412	1.38E-131	C1
ZNF384	1.403030539	1.2851E-102	C2
KLF6	1.41134663	6.4639E-64	C3
ZNF135	1.41158458	4.68648E-12	C5
NRF1	1.412353496	9.2786E-152	Not expanded
KLF3	1.41353833	1.91745E-18	C4
Hic1	1.416981594	4.56743E-08	Not expanded
NFKB1	1.421450994	2.64972E-62	C1
FOXP1	1.422111686	0	C1
PAX1	1.424648025	1.4825E-242	Not expanded
Klf12	1.430808028	2.3055E-190	Other expanded
NFIL3	1.431355579	3.6635E-161	C1
Zic2	1.439025757	1.15992E-11	Not expanded
SMAD5	1.44098763	4.98702E-16	C4
KLF3	1.441013471	1.2202E-195	C2
RXRG(var.2)	1.446248945	2.2232E-57	C3
SREBF1	1.450202115	9.5164E-99	C3
KLF10	1.451589822	6.1141E-215	Not expanded
MEF2A	1.454035109	1.8471E-114	C2
Zfx	1.4560724	4.41097E-79	C2
KLF2	1.456170023	1.1256E-131	Other expanded
KLF2	1.459854604	6.50568E-62	C3
KLF3	1.461416419	2.74542E-67	C3
IRF8	1.463708056	2.02888E-28	C5
Nr2f6(var.2)	1.466732908	1.53012E-13	C5
IKZF1	1.467745269	0	Not expanded
KLF2	1.470055583	5.80026E-17	C4
Klf1	1.470614551	4.8294E-20	C4
ZNF682	1.475088029	3.3038E-128	Not expanded
EGR3	1.481960574	7.15699E-47	Not expanded
ZSCAN4	1.483058841	1.90524E-09	C4
RFX4	1.484361867	1.1914E-253	Not expanded
SOX10	1.490776484	5.8309E-133	Not expanded
SP8	1.490825254	0.032047538	C5
Klf12	1.492545604	2.24376E-89	C3
KLF4	1.494744967	1.5504E-132	C2
EGR2	1.496964077	3.74505E-44	Not expanded
TFAP2C(var.2)	1.499261427	6.6557E-113	C2
KLF10	1.501758972	1.9975E-16	C4
HOXA13	1.50529772	2.4793E-178	Not expanded
KLF9	1.511478729	4.6614E-192	Other expanded
SREBF2	1.515217628	3.78041E-76	C3
RFX2	1.515416419	1.08037E-82	Other expanded
TFAP2C(var.2)	1.516429851	4.69024E-62	C3
ETV4	1.524098931	2.3087E-158	Other expanded
KLF9	1.524612229	3.2119E-83	C3
Nkx2-5(var.2)	1.537991076	1.49858E-78	Not expanded
MEIS2	1.542494678	4.72316E-85	Not expanded
NR2F1	1.542728354	2.8677E-193	C2
NFE2L1	1.555084015	7.10477E-50	C1
ZNF460	1.556319356	1.5517E-17	C5
ZNF384	1.55740867	6.95254E-09	C5
HSF2	1.558935617	6.6509E-149	C1
NKX2-5	1.561331334	1.4512E-127	Not expanded
MEIS1	1.574445043	7.8619E-121	Not expanded
KLF2	1.578516121	1.5308E-230	C2
SOX14	1.579233511	5.1945E-162	Not expanded
Sox3	1.582464759	6.4802E-284	Not expanded
ATF4	1.598172397	3.33032E-08	C4
ELF5	1.605930152	2.02973E-13	C4
MYF6	1.607265969	2.56075E-94	Not expanded
SP1	1.609962333	1.14037E-53	Not expanded
TBX18	1.611516497	6.12814E-12	C5
FOXA1	1.615140034	9.2835E-261	C1
ATF4	1.615158852	9.56699E-72	Not expanded
MEF2B	1.621464903	3.0791E-161	C2
SREBF2(var.2)	1.622962086	4.3831E-256	C1
Nr2f6(var.2)	1.627537059	5.4852E-271	C2
POU2F1	1.636418306	0	C1
KLF15	1.637561809	3.30938E-27	Not expanded
MAZ	1.639962868	1.0462E-189	Not expanded
Klf1	1.640009034	8.11746E-97	C3
SMAD5	1.640979429	2.6646E-77	C3
SMAD3	1.64653458	3.2723E-05	C5
GSC	1.650002039	7.7835E-182	C1
MXI1	1.652573129	1.94194E-41	Not expanded
ZFP42	1.65284806	1.3065E-136	C1
IRF5	1.656257744	4.09967E-16	Not expanded
Klf1	1.656471206	2.0106E-186	Other expanded
YY2	1.670508233	1.2337E-142	C1
SP9	1.673492527	1	C5
SNAI3	1.677499692	1.41548E-55	C1
IRF9	1.679074043	2.71789E-13	Not expanded
SOX8	1.686947473	7.9614E-143	Not expanded
ZBTB7C	1.692985832	1.418E-246	Not expanded
Plagl1	1.716531809	3.0655E-104	Not expanded
KLF9	1.725352513	2.36783E-23	C4
ELF4	1.72807803	1.5859E-278	Not expanded
KLF11	1.728479777	6.22E-161	Not expanded
ATOH7	1.730786422	9.06653E-34	Not expanded
SP1	1.734564105	0.000732056	C5
SMAD3	1.738550219	5.2542E-22	C4
OSR1	1.742111846	1.1342E-208	Not expanded
FIGLA	1.74559926	6.59767E-33	C1
TGIF1	1.746541516	0.014830205	Not expanded
TCF21(var.2)	1.747380969	5.59012E-62	Not expanded
SP3	1.749238716	0.000314061	C5
GABPA	1.751027347	0	Not expanded
CTCFL	1.751951598	2.1303E-142	Not expanded
PAX6	1.75447265	1.259E-209	Not expanded
POU2F2	1.760842135	0	C1
KLF13	1.762122347	0	Not expanded
PRDM4	1.762964288	0	Not expanded
RUNX2	1.764995215	0	Not expanded
TFAP4(var.2)	1.768432011	2.25725E-65	Not expanded
Smad4	1.771557551	8.44581E-80	C3
IRF6	1.773870319	9.75368E-07	C5
LIN54	1.775815076	1.5473E-187	C1
TGIF2	1.77744937	1.52976E-12	Not expanded
SIX2	1.778940438	0.0025082	C5
RFX7	1.780334091	6.2552E-259	Not expanded
SP3	1.784989372	1.0643E-114	Not expanded
SOX4	1.78923309	1.777E-166	Not expanded
ZNF24	1.802800516	4.0786E-172	Not expanded
SMAD2::SMAD3::SMAD4	1.820527826	2.5557E-172	Other expanded
INSM1	1.834821557	1.6649E-216	Not expanded
KLF14	1.835955247	4.8213E-128	Not expanded
SMAD2::SMAD3::SMAD4	1.840948117	1.2746E-99	C3
Foxq1	1.842786558	3.0458E-213	Not expanded
POU5F1B	1.844092006	0	C1
RELA	1.846539199	1.11847E-13	C5
ZBTB7B	1.848184435	4.7327E-251	Not expanded
SMAD5	1.849171914	7.25521E-06	C5
FOXD1	1.851690086	2.1636E-303	C1
FOXO3	1.851690086	2.1636E-303	C1
SP4	1.860661605	0.008868301	C5
TBR1	1.862965331	1.72972E-68	Not expanded
PITX3	1.865966103	2.9904E-204	C1
SOX9	1.866220121	5.7318E-190	Not expanded
FOXA3	1.882856697	0	C1
FOXD2	1.8938665	7.9027E-257	C1
ZBTB18	1.898464731	5.10892E-09	Not expanded
SMAD3	1.913963495	1.0945E-106	C3
ZNF135	1.919472601	1.5096E-291	C2
SP9	1.931149229	2.4865E-145	Not expanded
ELF3	1.938158292	0	Not expanded
YY1	1.941675241	4.9587E-174	C1
OSR2	1.942016455	3.1223E-155	Not expanded
Gfi1b	1.959218701	0.195480917	C4
KLF14	1.960642963	0.016867355	C5
ZNF317	1.963600122	1.9935E-136	Not expanded
SP4	1.984311637	9.02919E-95	Not expanded
EGR1	1.98676708	8.5473E-233	Not expanded
PKNOX2	1.992466137	6.61347E-08	Not expanded
Stat2	1.993178244	1.382E-295	Not expanded
ZEB1	1.997478045	0.019932635	C1
KLF5	2.002187177	8.6827E-222	Not expanded
Smad4	2.004450348	2.6391E-216	Other expanded
NEUROG2	2.006535308	1.07267E-63	Not expanded
KLF16	2.018179453	2.3938E-302	Not expanded
ZNF148	2.019700244	1.1916E-259	Not expanded
Nfe2l2	2.031155238	3.9172E-52	C1
SNAI2	2.031754326	4.62992E-71	C1
Smad4	2.046583498	1.65083E-20	C4
POU3F2	2.051331948	0	C1
POU3F1	2.05403979	0	C1
TCF3	2.077253318	1.37426E-10	Not expanded
TCF12(var.2)	2.099070915	3.03295E-10	Not expanded
Sox6	2.1026051	4.1284E-288	Not expanded
SMAD5	2.104468241	3.0138E-220	Other expanded
ZNF460	2.108532383	0	C2
POU3F4	2.119380717	0	C1
PRDM1	2.121951707	0	Not expanded
TBX20	2.12395452	2.80315E-45	Not expanded
POU2F3	2.12937991	0	C1
FOSL1::JUND	2.156383361	1.1622E-121	C1
Twist2	2.191332082	9.9706E-108	Not expanded
NFYC	2.194870258	0	Not expanded
ETV6	2.2116224	0	Not expanded
FOXA2	2.218016801	0	C1
TBX21	2.226950666	2.58562E-11	Not expanded
RFX5	2.249179733	3.16837E-48	Other expanded
POU5F1	2.25480561	0	C1
SMAD3	2.340763719	1.5562E-271	Other expanded
CTCF	2.364454704	0	C1
CEBPE	2.371632239	0.06997447	Not expanded
EHF	2.404260721	0	Not expanded
ELF1	2.40529299	0	Not expanded
NFYA	2.414414479	0	Not expanded
POU3F3	2.414825807	0	C1
TBX2	2.432151101	1.14137E-57	Not expanded
IRF1	2.464832321	0	Not expanded
GATA6	2.490146889	1.53195E-35	Not expanded
CEBPB	2.515827768	1.47892E-07	Not expanded
IRF2	2.5463847	1.20507E-58	Not expanded
MYB	2.570545426	1.8789E-216	Not expanded
Bach1::Mafk	2.628171636	4.90018E-29	C1
ZKSCAN5	2.643488911	0	Not expanded
TAL1::TCF3	2.652350929	4.64285E-31	Not expanded
HAND2	2.67027213	2.3711E-65	Not expanded
ETV5	2.737732321	3.76516E-77	C2
EOMES	2.82372893	1.29827E-86	Not expanded
MSC	2.844415219	7.16112E-43	Not expanded
MYOD1	2.852827496	0.301924756	Not expanded
POU1F1	2.863821036	0	C1
STAT1::STAT2	2.8689695	0	Not expanded
GATA5	2.877270422	6.34549E-67	Not expanded
NFYB	2.911765984	0	Not expanded
IRF1	2.912719184	2.87308E-47	C5
EHF	2.922814931	1.3101E-244	Other expanded
Tcf21	3.077532936	3.52844E-46	Not expanded
ELF3	3.131071355	2.7341E-225	Other expanded
JDP2	3.201221615	5.58269E-54	C1
BHLHA15(var.2)	3.209381083	1.75512E-10	Not expanded
ELF5	3.228794874	0	Not expanded
Ar	3.312034658	5.6971E-234	C1
Stat2	3.342681165	9.96375E-26	C5
MAF::NFE2	3.348228615	1.4252E-102	C1
TCF4	3.472013518	4.76152E-16	Not expanded
NHLH2	3.563471078	3.55289E-23	Not expanded
MYF5	3.56520645	1.90004E-17	Not expanded
Ptf1a(var.2)	3.580376445	1.33973E-09	Not expanded
IRF2	3.617152899	9.80326E-23	C5
TFAP4	3.682803373	3.51017E-61	Not expanded
IRF3	3.741427536	2.2924E-283	Not expanded
Ptf1a(var.3)	3.812525865	2.16302E-51	C1
ASCL1(var.2)	3.831326669	1.48072E-14	Not expanded
Rbpjl	3.854647323	6.33786E-28	C1
BACH1	3.862342127	9.27815E-41	C1
FERD3L	3.960715534	3.14712E-54	Not expanded
STAT1::STAT2	4.062502748	6.74291E-51	C5
Ascl2	4.081365897	5.27013E-18	Not expanded
NEUROG2(var.2)	4.142344296	9.72684E-80	Not expanded
NFKB2	4.307928055	7.58584E-37	C1
ATOH1(var.2)	4.403285478	2.37849E-42	Not expanded
NEUROD1	4.473368318	1.73582E-94	Not expanded
IRF3	4.57354257	5.99795E-34	C5
Tcf12	4.794382463	3.49962E-11	Not expanded
SPIC	4.799823051	0	Not expanded
SPI1	4.98631694	0	Not expanded
SPIB	4.992055834	0	Not expanded
MYOG	5.066692594	1.29305E-24	Not expanded
FOS	5.427363641	1.66708E-48	C1
NHLH1	5.481936063	2.27317E-17	Not expanded
ASCL1	5.60511976	6.38688E-16	Not expanded
BHLHE22(var.2)	5.693297343	2.81233E-08	Not expanded
CEBPA	5.71490158	0.025204481	Not expanded
NR3C2	5.925061382	0	C1
GATA3	6.008313427	2.68583E-27	Not expanded
FOSL1	6.925965773	3.97295E-78	C1
HNF1A	7.012550558	5.3735E-263	C1
GATA1::TAL1	7.044742288	6.00532E-36	Not expanded
GATA4	7.079296197	1.36132E-58	Not expanded
IRF5	7.082447449	1.63129E-18	C5
NR3C1	7.498125231	0	C1
GATA2	7.536230067	1.05801E-93	Not expanded
NFE2	7.580039597	9.42631E-90	C1
FOS::JUN	7.875210082	1.61856E-61	C1
HNF1B	8.055965967	0	C1
JUN(var.2)	9.199254687	2.7299E-47	C1
Smad2::Smad3	9.202095113	2.63236E-40	C1
FOSL1::JUNB	9.246511657	2.88551E-85	C1
JUND	9.476692382	8.85818E-91	C1
FOSB::JUNB	9.517293756	6.51218E-81	C1
JUNB	11.5885432	2.04458E-85	C1
BATF3	12.76470343	3.74206E-33	C1
FOSL1::JUN	14.3100468	1.65747E-82	C1
FOSL2::JUN	14.61647964	8.48995E-82	C1
BACH2	14.93900477	1.1627E-130	C1
FOSL2::JUNB	14.9592881	4.67799E-95	C1
BATF::JUN	15.31292859	1.56891E-39	C1
BATF	15.54200559	1.08827E-40	C1
FOS::JUND	15.92202964	5.35305E-74	C1
FOSL2::JUND	16.6499805	8.75264E-73	C1
FOSL2	18.67958364	2.86697E-67	C1
FOS::JUNB	19.30650959	1.1673E-109	C1
